status,family,pval,qval,G,gene_short_name,id,ensembl_gene_id,hgnc_symbol,entrezgene,iqr_count,num_cells_expressed
OK,negbinomial.size,0.0141087108097599,0.0273288054277126,G21128,SEC14L1,NM_001204408+NM_001204410+NM_001143998+NM_003003+NM_001039573+NM_001143999+NM_001144001,ENSG00000129657,SEC14L1,6397,2.67807190511264,1173
OK,negbinomial.size,0.00134084450814512,0.00345269373061441,G21129,JMJD6,NM_001081461+NM_015167,ENSG00000070495,JMJD6,23210,2.87446911791614,1100
OK,negbinomial.size,0.698095771765243,0.745935451236432,G21132,TNRC6C,NM_001142640+NM_018996,ENSG00000078687,TNRC6C,57690,2.8073549220576,618
OK,negbinomial.size,0.662232727440012,0.71412291726331,G21133,PGS1,NR_111989+NR_110601+NR_110602+NM_024419,ENSG00000087157,PGS1,9489,2.64385618977472,774
OK,negbinomial.size,2.74208761982897e-10,4.59286957918664e-09,G21135,USP36,NM_025090,ENSG00000055483,USP36,57602,2.70043971814109,860
OK,negbinomial.size,0.344841322632395,0.417882880634264,G21136,CYTH1,NM_001292019+NM_001292018+NM_004762+NM_017456,ENSG00000108669,CYTH1,9267,2.64385618977472,804
OK,negbinomial.size,0.00175470239284649,0.00435563739417601,G21137,RNF213,NM_001256071+NM_020954,ENSG00000173821,RNF213,57674,2.93859945533586,1667
OK,negbinomial.size,0.000791368276018108,0.00216827702454977,G21138,TBC1D16,NM_019020+NM_001271844+NM_001271845+NM_001271846,ENSG00000167291,TBC1D16,125058,2.64385618977472,646
OK,negbinomial.size,0.0010428388004839,0.00277230526818864,G21140,EIF4A3,NM_014740,ENSG00000141543,EIF4A3,9775,2.9668331360648,1689
OK,negbinomial.size,0.0458684993559436,0.075727502144598,G21141,NPLOC4,NM_017921,ENSG00000182446,NPLOC4,55666,2.58496250072116,1337
OK,negbinomial.size,2.64624631743285e-08,2.63109160283963e-07,G21144,BAIAP2,NM_017451+NM_017450+NM_001144888+NM_006340,ENSG00000175866,BAIAP2,10458,3,1107
OK,negbinomial.size,0.000300002597433844,0.000938794956545146,G21146,CCDC57,NM_198082,ENSG00000176155,CCDC57,284001,2.75488750216347,969
OK,negbinomial.size,4.95882610186547e-07,3.43578526842989e-06,G21147,ASPSCR1,NM_024083+NM_001251888+NR_045351,ENSG00000169696,ASPSCR1,79058,2.47230997219671,1047
OK,negbinomial.size,6.09504431696109e-13,1.78656039264691e-11,G21148,CSNK1D,NM_001893+NM_139062+NR_110578,ENSG00000141551,CSNK1D,1453,2.14135584924554,1744
OK,negbinomial.size,0.378550866563883,0.451401033329644,G21149,FOXK2,NM_004514,ENSG00000141568,FOXK2,3607,2.70043971814109,1088
OK,negbinomial.size,3.23719106299706e-17,2.13323802311952e-15,G21150,OGFOD3,NR_033265+NM_175902+NM_024648,ENSG00000181396,OGFOD3,79701,2.65207669657969,1324
OK,negbinomial.size,9.33578428887441e-08,7.89910595688456e-07,G21156,FAM57A,NM_024792,ENSG00000167695,FAM57A,79850,2.32192809488736,766
OK,negbinomial.size,0.0291171865228001,0.0512816933140536,G21158,GLOD4,NM_016080,ENSG00000167699,GLOD4,51031,2.62803122261304,1711
OK,negbinomial.size,0.120383048358916,0.172620419406653,G21159,RNMTL1,NM_018146,NA,NA,NA,2.58496250072116,798
OK,negbinomial.size,0.953809923085477,0.967889261280752,G21160,TIMM22,NM_013337,ENSG00000177370,TIMM22,29928,2.61470984411521,1323
OK,negbinomial.size,1.65225337691395e-06,9.98429952260989e-06,G21163,YWHAE,NM_006761+NR_024058,ENSG00000108953,YWHAE,7531,2.22542011403402,2187
OK,negbinomial.size,0.139497077566165,0.195252653684859,G21165,CRK,NM_005206+NM_016823,ENSG00000167193,CRK,1398,2.58496250072116,1191
OK,negbinomial.size,0.000141386695727136,0.000485522666042064,G21166,MYO1C,NM_001080950+NM_033375+NM_001080779,ENSG00000197879,MYO1C,4641,2.73466221646327,1295
OK,negbinomial.size,0.0564156735797954,0.0904333631176124,G21167,INPP5K,NM_016532+NM_130766+NM_001135642,ENSG00000132376,INPP5K,51763,2.61460877386113,994
OK,negbinomial.size,0.622335126791487,0.677903862843104,G21168,PITPNA-AS1,NR_028514,ENSG00000236618,PITPNA-AS1,NA,2.41503749927884,659
