pval,qval,G,gene_short_name,ensembl_gene_id,entrezgene,iqr_count,num_cells_expressed,use_for_ordering
1.3296771827685E-012,1.10131427578293E-010,G15235,WEE1,ENSG00000166483,7465,2.8073549221,575,FALSE
1.46792276800023E-012,1.2047642499551E-010,G23785,BLVRB,ENSG00000090013,645,2.9156078127,1629,FALSE
1.53868425920793E-012,1.25146319748912E-010,G24022,DBP,ENSG00000105516,1628,2.8073549221,654,FALSE
1.61457227622396E-012,1.30146058122767E-010,G23409,GIPC1,ENSG00000123159,10755,2.8073549221,1341,TRUE
2.07479720567339E-012,1.65763444007251E-010,G17548,TSC22D1,ENSG00000102804,8848,2.9087354782,2033,FALSE
2.35419610606793E-012,1.86435810926152E-010,G11318,GDA,ENSG00000119125,9615,3.0506260731,1058,TRUE
2.41266750649152E-012,1.89404889118309E-010,G24770,FLRT3,ENSG00000125848,23767,3.1699250014,543,FALSE
2.72427543577961E-012,2.12023781329469E-010,G9860,PEG10,ENSG00000242265,23089,3.5607149545,1361,FALSE
2.88964029613795E-012,2.21081971131639E-010,G12048,PTGES2,ENSG00000148334,80142,2.5360529002,1522,FALSE
2.88680868924173E-012,2.21081971131639E-010,G20337,GPRC5B,ENSG00000167191,51704,3.6056165818,543,TRUE
3.23064879759232E-012,2.45094935669441E-010,G23176,ALKBH7,ENSG00000125652,84266,2.8579809951,1691,FALSE
3.30855803474945E-012,2.48913849480983E-010,G18694,CHGA,ENSG00000276781,1113,3.6887310543,1695,TRUE
4.5546901073598E-012,3.39832580902845E-010,G23236,RAB11B,ENSG00000185236,9230,2.5889478867,1912,FALSE
5.20597291042339E-012,3.85241995371331E-010,G22816,ZBTB7A,ENSG00000178951,51341,2.6629650127,1100,TRUE
5.6254707109077E-012,4.07278476501269E-010,G1376,JUN,ENSG00000177606,3725,3.2854022189,1211,TRUE
5.63910163520809E-012,4.07278476501269E-010,G22041,NME2,ENSG00000243678,4831,2.2223924213,1298,FALSE
5.59522340817252E-012,4.07278476501269E-010,G3492,MRPL53,ENSG00000204822,116540,2.7878585157,1781,FALSE
6.06662333216789E-012,4.34678376530251E-010,G20089,C16orf13,NA,NA,2.7548875022,1684,FALSE
6.45869106602093E-012,4.59126479874307E-010,G20130,MRPS34,ENSG00000074071,65993,2.8259706002,1763,FALSE
6.79084197573926E-012,4.7896657310136E-010,G7352,SLC12A2,ENSG00000064651,6558,3.5235074098,972,FALSE
6.91928292945883E-012,4.84242529357785E-010,G4743,LMCD1,ENSG00000071282,29995,3.2028960149,853,FALSE
7.4648795362795E-012,5.18407172719472E-010,G23042,C19orf24,ENSG00000228300,55009,2.7999180862,1450,FALSE
7.90355991984337E-012,5.44681976766E-010,G18866,CKB,ENSG00000166165,1152,3.0274807364,1654,TRUE
8.01644402347995E-012,5.48276186696795E-010,G20084,METRN,ENSG00000103260,79006,2.8073549221,1366,TRUE
8.62189849303925E-012,5.85251876655326E-010,G3516,REG1B,ENSG00000172023,5968,3.84959397,594,TRUE
9.78821613120255E-012,6.59462800242512E-010,G4667,TNFSF10,ENSG00000121858,8743,3.6755650495,1244,FALSE
