status,family,pval,qval,G,gene_short_name,id,ensembl_gene_id,hgnc_symbol,entrezgene,iqr_count,num_cells_expressed
OK,negbinomial.size,0.0103792722223581,0.0898409104731051,G55,DDAH1,NM_001134445+NM_012137,ENSG00000153904,DDAH1,23576,3.16992500144231,1327
OK,negbinomial.size,0.395681356170893,0.941294145852655,G5508,MFN1,NM_033540,ENSG00000171109,MFN1,55669,2.39231742277876,788
OK,negbinomial.size,0.217532748880365,0.712844158581466,G5509,ACTL6A,NM_178042+NM_177989+NM_004301,ENSG00000136518,ACTL6A,86,2.77760757866355,1267
OK,negbinomial.size,0.594332385214939,1,G551,DENND1B,NM_001195215+NM_144977+NM_001195216,ENSG00000213047,DENND1B,163486,2.49149678734716,564
OK,negbinomial.size,0.256392770809354,0.776749642572768,G5510,NDUFB5,NM_002492+NM_001199958+NM_001199957,ENSG00000136521,NDUFB5,4711,2.42847893027679,1911
OK,negbinomial.size,0.359163642999349,0.902482638501196,G5512,TTC14,NM_001042601+NM_001288582+NM_133462,ENSG00000163728,TTC14,151613,2.84799690655495,1196
OK,negbinomial.size,0.86227196989896,1,G5513,DNAJC19,NM_001190233+NR_033721+NM_145261+NR_033722+NR_033723+NR_046073,ENSG00000205981,DNAJC19,131118,2.32192809488736,1519
OK,negbinomial.size,0.377343074550336,0.920545974462857,G5514,FXR1,NM_005087+NM_001013439+NM_001013438,ENSG00000114416,FXR1,8087,2.66296501272243,1508
OK,negbinomial.size,0.359173695185511,0.902482638501196,G5517,DCUN1D1,NM_020640,ENSG00000043093,DCUN1D1,54165,2.16992500144231,962
OK,negbinomial.size,0.26808875780141,0.795629620457308,G5518,MCCC1,NR_120640+NM_001293273+NM_020166+NR_120639,ENSG00000078070,MCCC1,56922,2.8073549220576,1038
OK,negbinomial.size,0.993295375527838,1,G5519,LINC00888,NR_038302+NR_038301,ENSG00000240024,LINC00888,NA,2.70026896479186,761
OK,negbinomial.size,0.96605731390863,1,G5521,PARL,NM_018622+NM_001037639,ENSG00000175193,PARL,55486,2.68449817427207,1402
OK,negbinomial.size,0.753091858199035,1,G5524,ABCC5,NM_005688+NM_001023587,ENSG00000114770,ABCC5,10057,3,988
OK,negbinomial.size,0.221368303178206,0.721749322662028,G5528,DVL3,NM_004423,ENSG00000161202,DVL3,1857,2.41503749927884,1477
OK,negbinomial.size,0.911796386141618,1,G5529,EIF2B5,NM_003907,ENSG00000145191,EIF2B5,8893,2.55019708256048,1397
OK,negbinomial.size,0.532872526136724,1,G5531,ALG3,NM_005787+NR_024533+NR_024534+NM_001006941,ENSG00000214160,ALG3,10195,2.72246602447109,1378
OK,negbinomial.size,0.425339213984098,0.969932413197383,G5532,ECE2,NM_032331+NM_014693+NM_001100120+NM_001100121+NM_001037324,ENSG00000145194,ECE2,9718,2.43295940727611,626
OK,negbinomial.size,0.204013814390038,0.684188973370455,G5533,VWA5B2,NM_138345,ENSG00000145198,VWA5B2,90113,2.88752527074159,1137
OK,negbinomial.size,0.38436174398784,0.928993889964866,G5534,ABCF3,NM_018358,ENSG00000161204,ABCF3,55324,2.89878522618542,1279
