status,family,pval,qval,G,gene_short_name,id,ensembl_gene_id,hgnc_symbol,entrezgene,iqr_count,num_cells_expressed,use_for_ordering
OK,negbinomial.size,0.546043683723435,1,G13647,PRTFDC1,NM_020200+NM_001282786,ENSG00000099256,PRTFDC1,56952,2.64385618977472,490,FALSE
OK,negbinomial.size,0.51403558450829,1,G13648,RSU1,NM_012425+NM_152724,ENSG00000148484,RSU1,6251,3,1003,FALSE
OK,negbinomial.size,0.729070143842262,1,G13651,ATRNL1,NM_207303+NM_001276282+NR_074088,ENSG00000107518,ATRNL1,26033,2.95419631038687,463,FALSE
OK,negbinomial.size,0.715852900220197,1,G13657,GTPBP4,NM_012341,ENSG00000107937,GTPBP4,23560,2.8073549220576,1324,FALSE
OK,negbinomial.size,0.683207149683362,1,G13663,PRPF18,NM_003675,ENSG00000165630,PRPF18,8559,2.58496250072116,1104,FALSE
OK,negbinomial.size,0.705734450816902,1,G13666,MLLT10,NM_004641+NM_001195628+NM_001195627+NM_001195630+NM_001195626,ENSG00000078403,MLLT10,8028,2.43295940727611,1211,FALSE
OK,negbinomial.size,0.815391875189126,1,G13668,NSUN6,NM_182543,ENSG00000241058,NSUN6,221078,2.40909597174339,986,FALSE
OK,negbinomial.size,0.569231135127728,1,G13669,KIAA1217,NM_001098500+NM_019590+NM_001282768+NM_001282767+NM_001282769+NM_001282770,ENSG00000120549,KIAA1217,56243,3.0703893278914,954,FALSE
OK,negbinomial.size,0.674803174412514,1,G1367,DHCR24,NM_014762,ENSG00000116133,DHCR24,1718,3.16992500144231,1125,FALSE
OK,negbinomial.size,0.768859964555745,1,G13671,PARD3,NM_001184789+NM_001184790+NM_001184785+NM_019619+NM_001184788+NM_001184787+NM_001184786+NM_001184791+NM_001184793+NM_001184792+NM_001184794,ENSG00000148498,PARD3,56288,2.58496250072116,858,FALSE
OK,negbinomial.size,0.841163042023677,1,G13672,CCNY,NM_181698+NM_001282854+NM_001282853+NM_145012+NM_001282852,ENSG00000108100,CCNY,219771,2.75488750216347,1043,FALSE
OK,negbinomial.size,0.551141940173569,1,G13679,ANK3,NM_020987+NM_001204404+NM_001204403+NM_001149,ENSG00000151150,ANK3,288,2.70043971814109,548,FALSE
OK,negbinomial.size,0.71721829425023,1,G13680,JMJD1C,NM_001282948+NM_032776,ENSG00000171988,JMJD1C,221037,2.50250034052918,1745,FALSE
OK,negbinomial.size,0.795445934796911,1,G13687,KCNMA1,NM_001014797+NM_001271518+NM_001161352+NM_002247+NM_001161353+NM_001271519+NM_001271522+NM_001271521+NM_001271520,ENSG00000156113,KCNMA1,3778,3.07528812730424,1098,FALSE
OK,negbinomial.size,0.873205144191475,1,G13689,RNLS,NM_018363+NM_001031709,ENSG00000184719,RNLS,55328,2.70043971814109,679,FALSE
OK,negbinomial.size,0.799151932898612,1,G13705,C10orf76,NM_024541,NA,NA,NA,2.32192809488736,813,FALSE
OK,negbinomial.size,0.863278901688403,1,G13708,VTI1A,NM_145206,ENSG00000151532,VTI1A,143187,2.37472009080591,687,FALSE
OK,negbinomial.size,0.55810218706342,1,G13709,ABLIM1,NM_002313+NM_001003407+NM_001003408+NM_006720,ENSG00000099204,ABLIM1,3983,2.75868399711002,1664,FALSE
OK,negbinomial.size,0.591501294575157,1,G13711,NSMCE4A,NM_001167865+NM_017615,ENSG00000107672,NSMCE4A,54780,2.73696559416621,1107,FALSE
OK,negbinomial.size,0.95198893710493,1,G13714,ACADSB,NM_001609,ENSG00000196177,ACADSB,36,2.70043971814109,710,FALSE
OK,negbinomial.size,0.995381864228359,1,G13717,DOCK1,NM_001290223+NM_001380,ENSG00000150760,DOCK1,1793,2.67807190511264,1016,FALSE
OK,negbinomial.size,0.949291652401479,1,G13720,LARP4B,NM_015155,ENSG00000107929,LARP4B,23185,2.78427130894456,1648,FALSE
OK,negbinomial.size,0.841042307608843,1,G13725,FAM208B,NM_017782,ENSG00000108021,FAM208B,54906,2.49149678734716,931,FALSE
OK,negbinomial.size,0.821632645158959,1,G13728,TAF3,NM_031923,ENSG00000165632,TAF3,83860,2.8073549220576,701,FALSE
OK,negbinomial.size,0.715911376466765,1,G13732,SEC61A2,NR_024576+NM_001142627+NM_001142628+NR_024577+NM_018144,ENSG00000065665,SEC61A2,55176,2.4806346302166,669,FALSE
OK,negbinomial.size,0.985967495238817,1,G13733,UPF2,NM_015542+NM_080599,ENSG00000151461,UPF2,26019,2.90689059560852,1262,FALSE
OK,negbinomial.size,0.97929783355707,1,G13735,ECHDC3,NM_024693,ENSG00000134463,ECHDC3,79746,2.58496250072116,929,FALSE
OK,negbinomial.size,0.993216275758412,1,G13738,SEPHS1,NM_001195602+NM_012247+NM_001195604,ENSG00000086475,SEPHS1,22929,2.64385618977472,1177,FALSE
OK,negbinomial.size,0.696491215893521,1,G13739,BEND7,NM_152751+NM_001100912,ENSG00000165626,BEND7,222389,2.41503749927884,725,FALSE
OK,negbinomial.size,0.652248261635382,1,G13742,NMT2,NM_004808,ENSG00000152465,NMT2,9397,2.8073549220576,714,FALSE
OK,negbinomial.size,0.645812430334805,1,G13743,FAM171A1,NM_001010924,ENSG00000148468,FAM171A1,221061,2.84799690655495,615,FALSE
OK,negbinomial.size,0.618320150530326,1,G1375,MYSM1,NM_001085487,ENSG00000162601,MYSM1,114803,2.84091201998687,874,FALSE
OK,negbinomial.size,0.980379021594747,1,G13750,CACNB2,NM_201597+NM_201596+NM_201593+NM_001167945+NM_201571+NM_201572+NM_000724+NM_201590+NM_201570,ENSG00000165995,CACNB2,783,3.0703893278914,1051,FALSE
OK,negbinomial.size,0.716555575696021,1,G13757,DNAJC1,NM_022365,ENSG00000136770,DNAJC1,64215,2.39611820497528,1562,FALSE
OK,negbinomial.size,0.953050662131411,1,G13767,MYO3A,NM_017433,ENSG00000095777,MYO3A,53904,3.14295795384204,946,FALSE
OK,negbinomial.size,0.601706674479097,1,G13768,ACBD5,NR_073196+NR_024150+NM_001042473+NM_145698+NR_073197+NR_073195+NM_001271512,ENSG00000107897,ACBD5,91452,2.54432051622381,1202,FALSE
OK,negbinomial.size,0.942705011583253,1,G13771,WAC,NR_024557+NM_100264+NM_016628+NM_100486,ENSG00000095787,WAC,51322,2.62449086490779,1838,FALSE
OK,negbinomial.size,0.554632970204648,1,G13772,MPP7,NM_173496,ENSG00000150054,MPP7,143098,2.52356195605701,789,FALSE
OK,negbinomial.size,0.48293330500887,1,G13775,LOC102724316,NR_110920+NR_110929+NR_110922+NR_110921+NR_110926+NR_110925+NR_110927+NR_110923+NR_110924+NR_003930+NR_110928,NA,NA,NA,2.76553474636298,1239,FALSE
OK,negbinomial.size,0.923034968329359,1,G13780,CCDC7,NM_145023+NM_001026383+NR_109827+NR_109826+NM_024688,ENSG00000216937,CCDC7,79741,1.87446911791614,904,FALSE
OK,negbinomial.size,0.918427732394953,1,G13781,EPC1,NM_001282391+NM_001272019+NM_025209+NM_001272004+NR_104160+NR_104159,ENSG00000120616,EPC1,80314,2.75488750216347,1172,FALSE
OK,negbinomial.size,0.862970684550879,1,G13784,ZNF37A,NM_001007094+NM_001178101+NM_003421,ENSG00000075407,ZNF37A,7587,2.48542682717024,1087,FALSE
OK,negbinomial.size,0.566157395108994,1,G13788,CSGALNACT2,NM_018590,ENSG00000169826,CSGALNACT2,55454,2.73696559416621,495,FALSE
OK,negbinomial.size,0.739259267814828,1,G13795,MARCH8,NM_145021+NM_001282866+NM_001002266,ENSG00000165406,MARCH8,220972,2.70043971814109,1169,FALSE
OK,negbinomial.size,0.972924507101291,1,G13814,CISD1,NM_018464,ENSG00000122873,CISD1,55847,2.46730113836524,1833,FALSE
OK,negbinomial.size,0.740893040932514,1,G13817,CCDC6,NM_005436,ENSG00000108091,CCDC6,8030,2.58496250072116,1276,FALSE
OK,negbinomial.size,0.993303818328781,1,G13830,CCAR1,NM_018237+NM_001282959+NR_104262+NM_001282960,ENSG00000060339,CCAR1,55749,2.64385618977472,1537,FALSE
OK,negbinomial.size,0.882772572088588,1,G13836,H2AFY2,NM_018649,ENSG00000099284,H2AFY2,55506,2.88752527074159,1196,FALSE
OK,negbinomial.size,0.569076752018177,1,G13838,SGPL1,NM_003901,ENSG00000166224,SGPL1,8879,2.8073549220576,1532,FALSE
OK,negbinomial.size,0.745697080538885,1,G13843,MICU1,NM_006077+NM_001195519+NM_001195518,ENSG00000107745,MICU1,10367,2.51096191927738,1525,FALSE
OK,negbinomial.size,0.967642163239087,1,G13852,ADK,NM_001202450+NM_006721+NM_001202449+NM_001123,ENSG00000156110,ADK,132,2.65207669657969,1397,FALSE
OK,negbinomial.size,0.990751856373334,1,G13856,CAMK2G,NM_001222+NM_001204492+NM_172169+NM_172173+NM_172170+NM_172171,ENSG00000148660,CAMK2G,818,3.02553509210714,1311,FALSE
OK,negbinomial.size,0.885440361701073,1,G13857,KAT6B,NM_001256469+NM_012330+NM_001256468,ENSG00000156650,KAT6B,23522,2.76242075414179,1442,FALSE
OK,negbinomial.size,0.971261382346157,1,G13858,SAMD8,NM_144660+NM_001174156,ENSG00000156671,SAMD8,142891,2.58496250072116,1164,FALSE
OK,negbinomial.size,0.750896872972511,1,G1386,TM2D1,NM_032027,ENSG00000162604,TM2D1,83941,2.52356195605701,1654,FALSE
OK,negbinomial.size,0.558108431430185,1,G13864,ZMIZ1,NM_020338,ENSG00000108175,ZMIZ1,57178,2.62755005982546,1687,FALSE
OK,negbinomial.size,0.997302052687667,1,G13866,FAM213A,NM_001243779+NM_001243780+NM_032333+NM_001243778+NM_001243781+NM_001243782,ENSG00000122378,FAM213A,84293,2.61005348168399,2000,FALSE
OK,negbinomial.size,0.805803176723468,1,G13867,ANXA11,NM_001157+NM_001278407+NM_001278408+NM_001278409+NM_145869+NM_145868,ENSG00000122359,ANXA11,311,2.62449086490779,1883,FALSE
OK,negbinomial.size,0.653253269814142,1,G13869,CCSER2,NM_018999+NM_001284241+NM_001284240+NM_001284243+NM_001284242,ENSG00000107771,CCSER2,54462,2.73696559416621,1275,FALSE
OK,negbinomial.size,0.739875031921081,1,G13882,HECTD2,NM_173497+NM_182765+NM_001284274+NR_104291,ENSG00000165338,HECTD2,143279,2.58496250072116,588,FALSE
OK,negbinomial.size,0.502346884446261,1,G13883,PCGF5,NM_001257101+NR_046435+NM_001256549+NM_032373+NR_046310,ENSG00000180628,PCGF5,84333,2.87446911791614,1530,FALSE
OK,negbinomial.size,0.998379673880525,1,G13885,RPP30,NM_001104546+NM_006413,ENSG00000148688,RPP30,10556,2.64385618977472,908,FALSE
OK,negbinomial.size,0.784414912102844,1,G13886,CPEB3,NM_001178137+NM_014912,ENSG00000107864,CPEB3,22849,2.58496250072116,550,FALSE
OK,negbinomial.size,0.487412544618797,1,G13887,IDE,NM_001165946+NM_004969,ENSG00000119912,IDE,3416,2.53605290024021,953,FALSE
OK,negbinomial.size,0.660055758515292,1,G13888,TNKS2,NM_025235,ENSG00000107854,TNKS2,80351,2.54432051622381,1358,FALSE
OK,negbinomial.size,0.737911310671965,1,G13890,BTAF1,NM_003972,ENSG00000095564,BTAF1,9044,2.79866356751744,1217,FALSE
OK,negbinomial.size,0.991574742514244,1,G13900,ALDH18A1,NM_001017423+NM_002860,ENSG00000059573,ALDH18A1,5832,2.83289001416474,1444,FALSE
OK,negbinomial.size,0.976956205149625,1,G13901,ZNF518A,NM_014803+NM_001278526+NM_001278524+NM_001278525,ENSG00000177853,ZNF518A,9849,2.58496250072116,1209,FALSE
OK,negbinomial.size,0.625918833252834,1,G13908,MMS19,NM_022362+NM_001289405+NM_001289403+NM_001289404,ENSG00000155229,MMS19,64210,2.8073549220576,1073,FALSE
OK,negbinomial.size,0.997814264126024,1,G13923,GBF1,NM_001199378+NM_004193+NM_001199379,ENSG00000107862,GBF1,8729,2.77760757866355,1439,FALSE
OK,negbinomial.size,0.939483910333218,1,G13924,ARL3,NM_004311,ENSG00000138175,ARL3,403,2.61734439721676,1812,FALSE
OK,negbinomial.size,0.639242981043598,1,G13930,OBFC1,NM_024928,NA,NA,NA,2.82432858801927,1032,FALSE
OK,negbinomial.size,0.973013484309963,1,G13932,SLK,NM_014720,ENSG00000065613,SLK,9748,2.62449086490779,1374,FALSE
OK,negbinomial.size,0.947991084973333,1,G13937,XPNPEP1,NM_001167604+NR_030724+NM_020383,ENSG00000108039,XPNPEP1,7511,2.70043971814109,1198,FALSE
OK,negbinomial.size,0.875586432130238,1,G13940,SMC3,NM_005445,ENSG00000108055,SMC3,9126,2.69031550086738,1853,FALSE
OK,negbinomial.size,0.909843679967843,1,G13943,TCF7L2,NM_001198525+NM_001146286+NM_001146285+NM_001146274+NM_030756+NM_001198527+NM_001146284+NM_001146283+NM_001198531+NM_001198530+NM_001198529+NM_001198528+NM_001198526,ENSG00000148737,TCF7L2,6934,2.63226821549951,1172,FALSE
OK,negbinomial.size,0.702250272410293,1,G13959,INPP5F,NM_001243195+NM_014937+NM_001243194,ENSG00000198825,INPP5F,22876,2.99086853099372,984,FALSE
OK,negbinomial.size,0.681948231252402,1,G13964,ATE1,NM_001288734+NM_001288736+NM_007041+NM_001288735+NR_110006+NM_001001976,ENSG00000107669,ATE1,11101,2.70043971814109,1053,FALSE
OK,negbinomial.size,0.841825286834015,1,G13967,TACC2,NM_001291877+NM_001291876+NM_206861+NM_206862+NM_001291879+NM_001291878+NM_006997+NM_206860,ENSG00000138162,TACC2,10579,2.72246602447109,814,FALSE
OK,negbinomial.size,0.99985388218186,1,G13972,CTBP2,NM_001083914+NM_001290215+NM_001290214+NM_001329+NM_022802,ENSG00000175029,CTBP2,1488,2.13750352374994,1243,FALSE
OK,negbinomial.size,0.707186773459502,1,G13973,OAT,NM_000274+NM_001171814,ENSG00000065154,OAT,4942,2.8073549220576,1595,FALSE
OK,negbinomial.size,0.58227579675888,1,G13974,LHPP,NM_022126+NM_001167880,ENSG00000107902,LHPP,64077,2.77258950389693,1262,FALSE
OK,negbinomial.size,0.580715529566343,1,G13976,DHX32,NM_018180,ENSG00000089876,DHX32,55760,2.41503749927884,993,FALSE
OK,negbinomial.size,0.787061193598189,1,G13978,BCCIP,NM_016567+NM_078468+NM_078469,ENSG00000107949,BCCIP,56647,2.64385618977472,1671,FALSE
OK,negbinomial.size,0.941505759763516,1,G13992,PRR26,NR_027151+NR_027152,ENSG00000180525,PRR26,414235,2.64385618977472,555,FALSE
OK,negbinomial.size,0.927581817191873,1,G13995,WDR37,NM_014023,ENSG00000047056,WDR37,22884,2.58496250072116,948,FALSE
OK,negbinomial.size,0.772171224143884,1,G14002,PITRM1,NM_001242307+NM_014889+NM_001242309,ENSG00000107959,PITRM1,10531,2.72788979224592,1625,FALSE
OK,negbinomial.size,0.620929685362635,1,G14004,KLF6,NR_027653+NM_001160124+NM_001160125+NM_001300,ENSG00000067082,KLF6,1316,3.62935662007961,1457,FALSE
OK,negbinomial.size,0.670341466770896,1,G14016,NET1,NM_001047160+NM_005863+NR_073040,ENSG00000173848,NET1,10276,2.58496250072116,948,FALSE
OK,negbinomial.size,0.699008876713163,1,G14024,FBXO18,NM_001258452+NM_178150+NM_001258453+NM_032807,NA,NA,NA,2.50250034052918,1132,FALSE
OK,negbinomial.size,0.969013906316397,1,G14027,RBM17,NM_032905+NM_001145547,ENSG00000134453,RBM17,84991,2.55019708256048,1592,FALSE
OK,negbinomial.size,0.812297961916543,1,G14036,ATP5C1,NM_005174+NM_001001973,NA,NA,NA,2.38605237181096,2091,FALSE
OK,negbinomial.size,0.592371145823691,1,G14038,KIN,NM_012311+NR_045609,ENSG00000151657,KIN,22944,2.64385618977472,876,FALSE
OK,negbinomial.size,0.579122792821569,1,G1404,MIER1,NM_001077703+NM_001146110+NM_020948+NM_001146111+NM_001077700+NM_001146113+NM_001146112+NM_001077702+NM_001278215+NM_001077701+NM_001077704,ENSG00000198160,MIER1,57708,2.70043971814109,1452,FALSE
OK,negbinomial.size,0.689544617830574,1,G14047,DHTKD1,NM_018706,ENSG00000181192,DHTKD1,55526,2.48542682717024,901,FALSE
OK,negbinomial.size,0.733171485963352,1,G14048,NUDT5,NM_014142,ENSG00000165609,NUDT5,11164,2.49185309632967,1485,FALSE
OK,negbinomial.size,0.684752947395144,1,G14049,CDC123,NM_006023,ENSG00000151465,CDC123,8872,2.7187799344812,1583,FALSE
OK,negbinomial.size,0.615943025643331,1,G14052,OPTN,NM_021980+NM_001008212+NM_001008213+NM_001008211,ENSG00000123240,OPTN,10133,2.64826128561026,1769,FALSE
OK,negbinomial.size,0.96476705313597,1,G14053,PHYH,NM_006214+NM_001037537,ENSG00000107537,PHYH,5264,2.63742992061529,1501,FALSE
OK,negbinomial.size,0.983690412075215,1,G14061,RPP38,NM_006414+NM_001097590+NM_183005+NM_001265601,ENSG00000152464,RPP38,10557,2.76553474636298,1076,FALSE
OK,negbinomial.size,0.682313233640635,1,G14070,PTPLA,NM_014241,NA,NA,NA,2.53605290024021,791,FALSE
OK,negbinomial.size,0.939201533311506,1,G1408,DIRAS3,NM_004675,ENSG00000162595,DIRAS3,9077,3.16992500144231,840,FALSE
OK,negbinomial.size,0.842461436305565,1,G14098,GAD2,NM_001134366+NM_000818,ENSG00000136750,GAD2,2572,3.04924351901985,1309,FALSE
OK,negbinomial.size,0.695492760292309,1,G14102,ANKRD26,NM_001256053+NM_014915,ENSG00000107890,ANKRD26,22852,2.53605290024021,1124,FALSE
